HotelId	HotelName	Description	description_fr	Category	Tags	ParkingIncluded	SmokingAllowed	LastRenovationDate	BaseRate	Rating
1	Secret Point Motel	"The hotel is ideally located on the main commercial artery of the city in the heart of New York. A few minutes away is Time's Square and the historic centre of the city, as well as other places of interest that make New York one of America's most attractive and cosmopolitan cities."	"L'hôtel est idéalement situé sur la principale artère commerciale de la ville en plein cœur de New York. A quelques minutes se trouve la place du temps et le centre historique de la ville, ainsi que d'autres lieux d'intérêt qui font de New York l'une des villes les plus attractives et cosmopolites de l'Amérique."	Suite	"bar, free wifi, continental breakfast"	0	0	10/31/2006	149.99	3.3
2	Twin Dome Motel	"The hotel is situated in a  nineteenth century plaza, which has been expanded and renovated to the highest architectural standards to create a modern, functional and first-class hotel in which art and unique historical elements coexist with the most modern comforts."	"L'hôtel est situé dans une place du XIXe siècle, qui a été agrandie et rénovée aux plus hautes normes architecturales pour créer un hôtel moderne, fonctionnel et de première classe dans lequel l'art et les éléments historiques uniques coexistent avec le confort le plus moderne."	Suite	"bar, view, air conditioning"	0	1	3/26/1975	119.99	4.4
3	Triple Landscape Hotel	"The Hotel stands out for its gastronomic excellence under the management of William Dough, who advises on and oversees all of the Hotel’s restaurant services."	"L'hôtel est situé dans une place du XIXe siècle, qui a été agrandie et rénovée aux plus hautes normes architecturales pour créer un hôtel moderne, fonctionnel et de première classe dans lequel l'art et les éléments historiques uniques coexistent avec le confort le plus moderne."	Resort and Spa	"view, free parking, coffee in lobby"	1	0	10/15/1970	119.99	2.7
4	Sublime Cliff Hotel	"Sublime Cliff Hotel is located in the heart of the historic center of Sublime in an extremely vibrant and lively area within short walking distance to the sites and landmarks of the city and is surrounded by the extraordinary beauty of churches, buildings, shops and monuments. Sublime Cliff is part of a lovingly restored 1800 palace."	"Le sublime Cliff Hotel est situé au coeur du centre historique de sublime dans un quartier extrêmement animé et vivant, à courte distance de marche des sites et monuments de la ville et est entouré par l'extraordinaire beauté des églises, des bâtiments, des commerces et Monuments. Sublime Cliff fait partie d'un Palace 1800 restauré avec amour."	Resort and Spa	"coffee in lobby, concierge, laundry service"	1	1	5/4/2004	79.99	4.6
5	Scarlet Harbor Hotel	"On entering this charming hotel in Scarlet Harbor, you will immediately sense its special intimate atmosphere that makes you feel like being in your own home.  Each detail has been passionately chosen and each room deserves a visit. The style mixes valuable antiques and original artworks with an unexpected eclectic contemporary twist. The entire hotel recalls times past where young aristocrats lived while discovering the beauty and the artistic mysteries of the area."	"En entrant dans cet hôtel de charme à Scarlet Harbor, vous sentirez immédiatement son atmosphère intime particulière qui vous donne l'impression d'être dans votre propre maison.  Chaque détail a été choisi avec passion et chaque chambre mérite une visite. Le style mêle antiquités précieuses et des œuvres originales avec une inattendue contemporaine éclectique Twist. Tout l'hôtel rappelle les temps passés où les jeunes aristocrates vivaient tout en découvrant la beauté et les mystères artistiques de la région."	Budget	"coffee in lobby, restaurant, coffee in lobby"	1	1	2/20/1990	199.99	3.7
6	King's Palace Hotel	"Newest kid on the downtown block.  Steps away from the most popular destinations in downtown, enjoy free WiFi, an indoor rooftop pool & fitness center, 24 Grab'n'Go & drinks at the bar"	"Le plus récent de l'immeuble du centre-ville.  À quelques pas des destinations les plus populaires du centre-ville, profitez du WiFi gratuit, d'une piscine couverte sur le toit et d'un centre de remise en forme, de 24 Grab'n'Go et de boissons au bar."	Budget	"view, free wifi, restaurant"	1	1	1/11/2009	79.99	3.2
7	Countryside Resort	"Perfect Location on Main Street.  Earn points while enjoying close proximity to the city's best shopping, restaurants, and attractions."	"Emplacement parfait sur la rue principale.  Gagnez des points tout en appréciant la proximité des meilleurs magasins, restaurants et attractions de la ville."	Extended-Stay	"bar, restaurant, view"	1	1	10/28/1955	79.99	4.9
8	Sapphire Resort	"Downtown, close to everything, steps to the park, shopping, and restaurants."	"Centre-ville, près de tout, marches pour le parc, shopping, et restaurants."	Suite	"pool, bar, continental breakfast"	1	0	1/24/1963	79.99	4.7
9	Smile Hotel	"Experience the fresh, modern downtown.  Enjoy updated rooms, bold style & prime location. Don't miss our weekend live music series featuring who's new/next on the scene."	"Découvrez le centre-ville frais et moderne.  Profitez de chambres rénovées, d'un style audacieux et d'un emplacement privilégié. Ne manquez pas notre série de musique en direct du week-end mettant en vedette who's New/Next sur la scène."	Suite	"air conditioning, laundry service, free parking"	0	1	12/9/1965	199.99	3.8
10	Countryside Hotel	"Save up to 50% off traditional hotels.  Free WiFi, great location near downtown, full kitchen, washer & dryer, 24/7 support, bowling alley, fitness center and more."	"Économisez jusqu'à 50% sur les hôtels traditionnels.  WiFi gratuit, très bien situé près du centre-ville, cuisine complète, laveuse & sécheuse, support 24/7, bowling, centre de fitness et plus encore."	Budget	"restaurant, coffee in lobby, concierge"	0	0	6/8/1978	249.99	2.6
